Firm,,ticker
Opendoor,Opendoor Inc.,OPEN
Medtronic,Medtronic Inc.,MDT
Redfin,Redfin Inc.,RDFN
Acxiom,Acxiom Inc.,
Pear Therapeutics,Pear Therapeutics Inc.,PEAR
Amplitude,Amplitude Inc.,AMPL
View,View Inc.,VIEW
Apple,Apple Inc.,AAPL
Roku,Roku Inc.,ROKU
LendingTree,LendingTree Inc.,TREE
Kyndryl,Kyndryl Inc.,KD
Electronic Arts,Electronic Arts Inc.,EA
Seagate,Seagate Inc.,STX
iCAD,iCAD Inc.,ICAD
Shift,Shift Inc.,SFT
Lucid Motors,Lucid Motors Inc.,LCID
AEye,AEye Inc.,LIDR
Better Therapeutics,Better Therapeutics Inc.,BTTX
Marvell,Marvell Inc.,MRVL
Expedia,Expedia Inc.,EXPE
Amazon,Amazon Inc.,AMZN
Coherent,Coherent Inc.,COHR
Leafly,Leafly Inc.,LFLY
Freshworks,Freshworks Inc.,FRSH
Boxed,Boxed Inc.,BOXDQ
Meta,Meta Inc.,META
Samsung,Samsung Inc.,SSNLF
Neoleukin Therapeutics,Neoleukin Therapeutics Inc.,NLTX
Take-Two Interactive,Take-Two Interactive Inc.,TTWO
SiriusXM,SiriusXM Inc.,SIRI
Embark Trucks,Embark Trucks Inc.,EMBK
Airbnb,Airbnb Inc.,ABNB
Accolade,Accolade Inc.,ACCD
Zscaler,Zscaler Inc.,ZS
Thoughtworks,Thoughtworks Inc.,TWKS
Sonder,Sonder Inc.,SOND
Eventbrite,Eventbrite Inc.,EB
MeridianLink,MeridianLink Inc.,MLNK
Palantir,Palantir Inc.,PLTR
Twitter,Twitter Inc.,
Lucira Health,Lucira Health Inc.,LHDXQ
EVgo,EVgo Inc.,EVGO
TaskUs,TaskUs Inc.,TASK
Micron,Micron Inc.,MU
Digimarc,Digimarc Inc.,DMRC
DocuSign,DocuSign Inc.,DOCU
The RealReal,The RealReal Inc.,REAL
Smartsheet,Smartsheet Inc.,SMAR
DigitalOcean,DigitalOcean Inc.,DOCN
Sprinklr,Sprinklr Inc.,CXM
Momentive,Momentive Inc.,METV
Vicarious Surgical,Vicarious Surgical Inc.,RBOT
Udemy,Udemy Inc.,UDMY
Twilio,Twilio Inc.,TWLO
Rigetti Computing,Rigetti Computing Inc.,RGTI
Oportun,Oportun Inc.,OPRT
GitLab,GitLab Inc.,GTLB
Bark,Bark Inc.,BARK
GoDaddy,GoDaddy Inc.,GDDY
Affirm,Affirm Inc.,AFRM
Zoom,Zoom Inc.,ZM
eBay,eBay Inc.,EBAY
SecureWorks,SecureWorks Inc.,SCWX
Dell,Dell Inc.,DELL
Okta,Okta Inc.,OKTA
Autodesk,Autodesk Inc.,ADSK
Desktop Metal,Desktop Metal Inc.,DM
Getaround,Getaround Inc.,GETR
Splunk,Splunk Inc.,SPLK
Pinterest,Pinterest Inc.,PINS
DraftKings,DraftKings Inc.,DKNG
Cyren,Cyren Inc.,CYRNQ
Appgate,Appgate Inc.,APGT
Frequency Therapeutics,Frequency Therapeutics Inc.,FREQ
Match Group,Match Group Inc.,MTCH
Rivian,Rivian Inc.,RIVN
PayPal,PayPal Inc.,PYPL
NetApp,NetApp Inc.,NTAP
Workday,Workday Inc.,WDAY
HubSpot,HubSpot Inc.,HUBS
Upstart,Upstart Inc.,UPST
Wish,Wish Inc.,WISH
National Instruments,National Instruments Inc.,NATI
Groupon,Groupon Inc.,GRPN
Intel,Intel Inc.,INTC
BM Technologies,BM Technologies Inc.,BMTX
Quantum SI,Quantum SI Inc.,QSI
SoFi,SoFi Inc.,SOFI
Synopsys,Synopsys Inc.,SNPS
Confluent,Confluent Inc.,CFLT
IBM,IBM Inc.,IBM
Lam Research,Lam Research Inc.,LRCX
Guardant Health,Guardant Health Inc.,GH
Vacasa,Vacasa Inc.,VCSA
PagerDuty,PagerDuty Inc.,PD
Innovid,Innovid Inc.,CTV
Yext,Yext Inc.,YEXT
Google,Google Inc.,GOOG
Wayfair,Wayfair Inc.,W
Capital One,Capital One Inc.,COF
Proterra,Proterra Inc.,PTRA
WeWork ,WeWork  Inc.,WE
CS Disco,CS Disco Inc.,LAW
Magnite,Magnite Inc.,MGNI
Personalis,Personalis Inc.,PSNL
Microsoft,Microsoft Inc.,MSFT
Teladoc Health,Teladoc Health Inc.,TDOC
Vroom,Vroom Inc.,VRM
8x8,8x8 Inc.,EGHT
Pagaya,Pagaya Inc.,PGY
Inspirato,Inspirato Inc.,ISPO
nCino,nCino Inc.,NCNO
Starry,Starry Inc.,STRYQ
Bally's Interactive,Bally's Interactive Inc.,BALY
Lucid Diagnostics,Lucid Diagnostics Inc.,LUCD
Unity,Unity Inc.,U
RingCentral,RingCentral Inc.,RNG
LiveVox,LiveVox Inc.,LVOX
Oracle,Oracle Inc.,ORCL
Carvana,Carvana Inc.,CVNA
Lending Club,Lending Club Inc.,LC
Definitive Healthcare,Definitive Healthcare Inc.,DH
Life360,Life360 Inc.,LIFX
Qualtrics,Qualtrics Inc.,XM
HashiCorp,HashiCorp Inc.,HCP
Coinbase,Coinbase Inc.,COIN
Informatica,Informatica Inc.,INFA
Blend,Blend Inc.,BLND
ForeScout,ForeScout Inc.,
Fate Therapeutics,Fate Therapeutics Inc.,FATE
Century Therapeutics,Century Therapeutics Inc.,IPSC
Editas Medicine,Editas Medicine Inc.,EDIT
WalkMe,WalkMe Inc.,WKME
Cue,Cue Inc.,CUE
SoundHound,SoundHound Inc.,SOUN
Compass,Compass Inc.,COMP
Stitch Fix,Stitch Fix Inc.,SFIX
TCR2,TCR2 Inc.,TCRR
Salesforce,Salesforce Inc.,CRM
Kaltura,Kaltura Inc.,KLTR
Butterfly Network,Butterfly Network Inc.,BFLY
Vimeo,Vimeo Inc.,VMEO
Pegasystems,Pegasystems Inc.,PEGA
Amdocs,Amdocs Inc.,DOX
Qualcomm,Qualcomm Inc.,QCOM
TuSimple,TuSimple Inc.,TSP
Xiaomi,Xiaomi Inc.,XIACF
BigCommerce,BigCommerce Inc.,BIGC
Quanergy Systems,Quanergy Systems Inc.,QNGYQ
Edgio,Edgio Inc.,EGIO
Viant,Viant Inc.,DSP
N-able Technologies,N-able Technologies Inc.,NABL
TechTarget,TechTarget Inc.,TTGT
Bakkt,Bakkt Inc.,BKKT
Blue Apron,Blue Apron Inc.,APRN
Lenovo,Lenovo Inc.,LNVGY
Nerdy,Nerdy Inc.,NRDY
Doma,Doma Inc.,DOMA
BuzzFeed,BuzzFeed Inc.,BZFD
Adobe,Adobe Inc.,ADBE
Zuora,Zuora Inc.,ZUO
Springbig,Springbig Inc.,SBIG
